sentence,label
The cat won't eat its food.,NEG eat-ACT-IND-FUT-3SGNOM DEF-cat-SING-NOM food-SING-ACC it-GEN.
The plants don't get enough sunlight here.,NEG get-ACT-IND-PRES-3PLNOM DEF-plant-PLUR-NOM sunlight-SING-ACC enough-SING-ACC here.
The leaves rustled in the wind.,rustle-ACT-IND-PAST-3PLNOM DEF-leaf-PLUR-NOM in DEF-wind-SING-GEN.
Many flowers bloom in the garden.,bloom-ACT-IND-PRES-3PLNOM flower-PLUR-NOM many-PLUR-NOM in DEF-garden-SING-GEN.
We bought two loaves of bread.,buy-ACT-IND-PAST-1PLNOM we-NOM loaf-DUAL-ACC bread-SING-GEN.
The stars twinkled in the night sky.,twinkle-ACT-IND-PAST-3SGNOM DEF-star-PLUR-NOM in DEF-sky-SING-GEN night-SING-GEN.
We planted two tomato plants in the garden.,plant-ACT-IND-PAST-1PLNOM we-NOM plant-DUAL-ACC tomato-SING-GEN in DEF-garden-SING-GEN.
We found a treasure map in the attic.,find-ACT-IND-PAST-1PLNOM we-NOM map-SING-ACC treasure-SING-GEN in DEF-attic-SING-GEN.
She wrote the letter with a blue pen.,write-ACT-IND-PAST-3SGNOM she-NOM DEF-letter-SING-ACC with pen-SING-GEN blue-SING-GEN.
They built the sandcastle with plastic shovels.,build-ACT-IND-PAST-3PLNOM they-NOM DEF-sandcastle-SING-ACC with shovel-PLUR-GEN plastic-PLUR-GEN.
The old man lived in a small cottage.,live-ACT-IND-PAST-3SGNOM DEF-man-SING-NOM DEF-old-SING-NOM in cottage-SING-GEN small-SING-GEN.
We had a picnic in the sunny meadow.,have-ACT-IND-PAST-1PLNOM we-NOM picnic-SING-ACC in DEF-meadow-SING-GEN DEF-sunny-SING-GEN.
"The children built a snowman, and it melted the next day.","build-ACT-IND-PAST-3PLNOM DEF-child-PLUR-NOM snowman-SING-ACC, and melt-ACT-IND-PAST-3SGNOM it-NOM DEF-day-SING-GEN DEF-next-SING-GEN."
"Thou art a true friend, always there when I need thee.","be-IND-PRES-2SGNOM thou-NOM friend-SING-NOM true-SING-NOM, always there when need-ACT-IND-PRES-1SGNOM i-NOM thou-ACC."
The cat chased the mouse until it ran into a small hole.,chase-ACT-IND-PAST-3SGNOM DEF-cat-SING-NOM DEF-mouse-SING-ACC until run-ACT-IND-PAST-3SGNOM it-NOM into hole-SING-GEN small-SING-GEN.
We saw them at the grocery store while shopping for vegetables.,see-ACT-IND-PAST-1PLNOM we-NOM they-ACC at DEF-store-SING-GEN grocery-SING-GEN while shopping for vegetable-PLUR-GEN.
They invited us to their house for a delicious dinner party.,invite-ACT-IND-PAST-3PLNOM they-NOM we-ACC to house-SING-GEN they-GEN for party-SING-GEN dinner-SING-GEN delicious-SING-GEN.
I have been waiting for the bus for 30 minutes.,wait-ACT-IND-PRES-1SGNOM i-NOM for DEF-bus-SING-GEN for 30 minute-PLUR-GEN.
I am going to start a new job next month.,start-ACT-IND-FUT-1SGNOM i-NOM job-SING-ACC new-SING-ACC month-SING-GEN next-SING-GEN.
I used to play the piano when I was younger.,play-ACT-IND-PAST-1SGNOM i-NOM DEF-piano-SING-ACC when be-ACT-IND-PAST-1SGNOM i-NOM young-COMP-SING-NOM.
We went to the movies last night.,go-ACT-IND-PAST-1PLNOM we-NOM to DEF-movie-PLUR-GEN night-SING-GEN last-SING-GEN.
They are playing soccer in the park.,play-ACT-IND-PRES-3PLNOM they-NOM soccer-SING-ACC in DEF-park-SING-GEN.
A new species of frog was discovered by the scientist.,discover-PASS-IND-PAST-3SGNOM species-SING-NOM new-SING-NOM frog-SING-GEN by DEF-scientist-SING-GEN.
The teacher graded the tests last night.,grade-ACT-IND-PAST-3SGNOM DEF-teacher-SING-NOM DEF-test-PLUR-ACC night-SING-GEN last-SING-GEN.
The dog buried the bone in the backyard.,bury-ACT-IND-PAST-3SGNOM DEF-dog-SING-NOM DEF-bone-SING-ACC in DEF-backyard-SING-GEN.
Sarah baked a delicious cake for the party.,bake-ACT-IND-PAST-3SGNOM Sarah-NOM cake-SING-ACC delicious-SING-ACC for DEF-party-SING-GEN.
The students elected Sarah as class president.,elect-ACT-IND-PAST-3PLNOM DEF-student-PLUR-NOM Sarah-ACC as president-SING-GEN class-SING-GEN.
